"","project","day","time"
"1","交通","2015-02-28",4740
"2","交通","2015-03-01",11160
"3","交通","2015-03-02",3060
"4","交通","2015-03-07",1980
"5","交通","2015-03-11",3480
"6","交通","2015-03-12",4860
"7","交通","2015-03-14",10560
"8","学习","2015-03-02",6180
"9","学习","2015-03-03",120
"10","学习","2015-03-04",8100
"11","学习","2015-03-05",6000
"12","学习","2015-03-06",9000
"13","学习","2015-03-07",7020
"14","学习","2015-03-09",22560
"15","学习","2015-03-10",15060
"16","学习","2015-03-11",10980
"17","学习","2015-03-12",15960
"18","学习","2015-03-13",8580
"19","学习","2015-03-14",18180
"20","学习","2015-03-16",23940
"21","学习","2015-03-19",10920
"22","学习","2015-03-21",6600
"23","学习","2015-03-23",13140
